i,ii,iii,iv,V_um3,pgC,ugC
phyto,cocco,cocco,Emiliania,3062.731462,405.4245347,0.000405425
phyto,cocco,cocco,Helicosphaera,8728.58546,1083.927023,0.001083927
phyto,cocco,cocco,Rhabdosphaera,13627.01433,1646.857494,0.001646857
phyto,diatom,diatom,Chaetocerous,516.7,45.6908124,4.57E-05
phyto,diatom,diatom,Corethron,110.077484,13.03796968,1.30E-05
phyto,diatom,diatom,Coscinodiscus,304707.5156,8069.037532,0.008069038
phyto,diatom,diatom,Fragilariopsis,4878.450998,282.2208833,0.000282221
phyto,diatom,diatom,Melosira,1205.531448,90.82978517,9.08E-05
phyto,diatom,diatom,P_N,609.3865133,52.23247194,5.22E-05
phyto,diatom,diatom,Planktoniella,35.04329991,5.153083017,5.15E-06
phyto,diatom,diatom,Rhizo_Lg_fragment,14058281.17,94471.64946,0.094471649
phyto,diatom,diatom,Rhizosolenia_Whole,31258779.54,210058.9985,0.210058999
phyto,diatom,diatom,Thalassiosira,58.10027347,7.764991577,7.76E-06
phyto,dino,dino,Gonyaulax,29465.19984,3476.786186,0.003476786
phyto,dino,dino,Scripsiella,44730.77411,4893.958085,0.004893958
phyto,dino,dino,Tripos,84499.82733,8239.645176,0.008239645
rhizaria,cercozoa,phaeo,Aulocanthidae,346750521.5,464727.6294,0.464727629
rhizaria,cercozoa,phaeo,Aulosphaeridae,2908076052,3423325.724,3.423325724
rhizaria,cercozoa,phaeo,Castanellidae,81552692.38,119388.6336,0.119388634
rhizaria,cercozoa,phaeo,Challengeridae,19367917.54,30952.32549,0.030952325
rhizaria,cercozoa,phaeo,Coelodendridae,2947908010,3467336.509,3.467336509
rhizaria,cercozoa,phaeo,Phaeoconchidae,5028380.594,8724.959905,0.00872496
rhizaria,radiolaria,acanth,Acanth_B,4740.907837,611.0654253,0.000611065
rhizaria,radiolaria,radiolaria,Cladococcus,413414.245,40573.23875,0.040573239
rhizaria,radiolaria,radiolaria,Litharachnium,12484055.88,20492.75844,0.020492758
rhizaria,radiolaria,radiolaria,Nass_A_B_C_D_E,39151.63467,4436.555378,0.004436555
rhizaria,radiolaria,radiolaria,Nass_F,810.1197482,116.3004695,0.0001163
rhizaria,radiolaria,radiolaria,Spum_C,742826.5445,70342.37597,0.070342376
rhizaria,radiolaria,radiolaria,Spum_D,705304.2045,67000.68751,0.067000688
rhizaria,radiolaria,radiolaria,Spum_A_lg,167280.729,17348.8009,0.017348801
rhizaria,radiolaria,radiolaria,Spum_A_Sm,3252.369198,428.9526946,0.000428953
rhizaria,radiolaria,radiolaria,Tiny_B_star,962.245062,136.6970099,0.000136697