group,group,Category,RR1,RR4,RR5,RR6,RR7,RR8,RR9,RR10,RR11,RR23,RR24,RR25,RR26,RR27,RR28,RR29,RR30,RR31,RR32,RR33,RR53,RR54,RR55,RR56,RR57,RR58,RR59,RR60,RR61,RR62
metadata,metadata,Fields,20,19,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
metadata,metadata,m2perfield,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
metadata,metadata,Elapsed_Time_(days),5.65,5.65,5.65,4.95,4.84,4.69,4.7,4.76,5.27,4.34,4.34,4.34,4.34,4.34,3.13,3.13,3.23,3.06,2.8,4.08,4,3.916666667,4.145833333,4.006944444,4.979166667,5.334722222,5.334722222,5.334722222,5.631944444,5.334722222
metadata,metadata,True_Depth_(m),95,330,500,96.2,97.2,159,209,207,342,105,155,205,340,510,101,103,152,199,203,337,104,104,147,198,334,105,155,205,340,510
metadata,metadata,Trap_Type,STT,STT,STT,NBST,NBST,NBST,NBST,NBST,NBST,STT,STT,STT,STT,STT,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,NBST,STT,STT,STT,STT,STT
metadata,metadata,Epoch,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ciliate,Tintinnid,Tintinnid_A,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ciliate,Tintinnid,Tintinnid_Dictyocysta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Coccolithophore,Coccolithophore,Emiliania_(A),0,0,20,146,138,0,5,12,2,40,6,5,260,0,203,15,116,0,0,3,1,4,0,0,4,2,21,5,2,47
Coccolithophore,Coccolithophore,Helicosphaera_(B),0,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Coccolithophore,Coccolithophore,Rhabdosphaera,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom,Diatom,Chaetocerous,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2
Diatom,Diatom,Corethron,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Diatom,Diatom,Coscinodiscus,3,0,2,5,0,3,0,4,1,3,1,2,2,1,0,0,0,0,0,2,0,0,0,0,2,0,4,1,0,0
Diatom,Diatom,Eucampia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom,Diatom,Fragilariopsis,0,0,83,25,23,0,12,2,78,19,2,151,623,546,38,14,85,37,99,112,13,9,0,8,34,97,12,12,374,964
Diatom,Diatom,Pennate_A,6,1,0,13,0,0,0,0,1,8,8,12,11,48,13,15,18,7,6,33,4,7,0,1,13,12,3,0,13,3
Diatom,Diatom,Pennate_B,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,5,0,1,0
Diatom,Diatom,Pennate_C,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom,Diatom,Pennate_Tiny,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom,Diatom,Thalassiosira,0,41,104,30,23,36,103,65,136,39,40,107,193,203,33,0,55,44,74,0,14,7,0,17,26,74,50,85,179,350
Diatom,Diatom,Asterolampra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diatom,Diatom,Cylindrotheca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Diatom,Diatom,Melosira,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom,Diatom,Planktoniella,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Athecate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Dinoflagellate_typeA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Gonyaulax,37,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Noctiluca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Prorocentrum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Scripsiella,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Thecate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dinoflagellate,Dinoflagellate,Tripos,1,1,8,7,1,0,1,0,0,6,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Rhizaria,Foraminifera,Foraminifera,3,0,0,3,0,0,0,0,0,3,0,3,0,2,0,17,1,0,5,0,0,1,0,0,0,0,1,0,0,1
Rhizaria,Acantharian,Acantharia_B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Rhizaria,Acantharian,Acantharia_large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Acantharian,Acantharia_small,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Rhizaria,Radiolarian,Nassellaria_A,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Radiolarian,Nassellaria_B,9,0,5,0,0,0,0,0,1,1,1,4,0,6,1,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0
Rhizaria,Radiolarian,Nassellaria_C,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0,0,0,1,4,6,0,2
Rhizaria,Radiolarian,Nassellaria_D,1,1,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1
Rhizaria,Radiolarian,Nassellaria_E,0,0,5,0,0,0,3,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2
Rhizaria,Radiolarian,Nassellaria_G,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhizaria,Radiolarian,Spumellaria_A,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,21,3,5,0,0,0,0,0,0,0,1,3,2,2
Rhizaria,Radiolarian,Spumellaria_C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Rhizaria,Radiolarian,Spumellaria_D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhizaria,Radiolarian,Spumellaria_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Radiolarian,Spumellaria_F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Radiolarian,Spumellaria_G,0,0,0,0,5,5,4,0,0,12,0,0,1,0,10,9,0,2,0,0,3,2,0,0,0,10,0,0,0,2
Rhizaria,Radiolarian,Spumellaria_H,0,0,0,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
Rhizaria,Radiolarian,Spumellaria_Tiny_A,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizaria,Radiolarian,Spumellaria_Tiny_B,0,1,1,0,0,2,0,2,0,0,4,6,6,0,4,1,9,6,5,5,0,0,0,0,0,4,5,0,5,5
Silicoflagellate,Silicoflagellate,Dictyocha,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2